LSOA code,local authority name,local authority code,All households,One person Aged 66+,One person Aged up to 65,Family: all aged 66+,Married or civil partnership couple: No children,Married or civil partnership couple: Dependent children,Married or civil partnership couple: non-dependent children,Cohabiting couple: No children,Cohabiting couple: Dependent children,Cohabiting couple: Non-dependent children,Lone parent: dependent children,Lone parent: non-dependent children,Other with dependent children,All other types,
E01034043,Hounslow,E09000018,644,40,186,13,81,87,19,49,21,2,67,24,16,39,
E01034044,Hounslow,E09000018,581,29,161,30,83,87,21,49,10,0,51,22,8,30,
E01034045,Hounslow,E09000018,837,19,248,5,102,111,13,112,40,0,70,54,12,51,
E01034046,Hounslow,E09000018,729,96,123,25,39,106,38,15,17,10,97,79,37,47,
E01002694,Islington,E09000019,671,57,142,11,20,58,19,36,16,8,109,79,24,92,
E01002695,Islington,E09000019,741,47,276,12,43,41,10,107,8,3,32,32,13,117,
E01002696,Islington,E09000019,860,69,220,35,91,71,20,118,14,5,39,47,6,125,
E01002697,Islington,E09000019,825,74,233,17,29,61,21,44,20,3,75,56,27,165,
E01002698,Islington,E09000019,1050,48,370,28,107,75,17,165,16,1,69,33,19,102,
E01002699,Islington,E09000019,748,81,216,28,80,57,19,73,19,7,44,45,5,74,
E01002700,Islington,E09000019,607,51,133,61,69,89,25,68,16,0,16,14,14,51,
E01002701,Islington,E09000019,677,89,169,23,56,43,21,46,16,4,62,41,13,94,
E01002702,Islington,E09000019,1116,59,357,7,81,92,26,106,22,7,147,51,20,141,
E01002703,Islington,E09000019,1134,82,348,23,81,79,29,113,28,7,129,62,22,131,
E01002704,Islington,E09000019,1118,88,386,18,95,81,26,100,24,5,107,47,18,123,
E01002706,Islington,E09000019,911,94,249,23,49,67,24,58,32,3,107,61,16,128,
E01002707,Islington,E09000019,890,69,318,20,57,48,29,91,14,4,53,40,15,132,
E01002708,Islington,E09000019,999,67,302,18,64,84,24,93,17,3,97,58,19,153,
E01002709,Islington,E09000019,697,72,157,20,31,59,31,55,15,2,45,52,23,135,
E01002710,Islington,E09000019,646,53,140,20,25,68,29,50,12,9,56,64,23,97,
E01002711,Islington,E09000019,954,47,355,26,73,60,17,111,8,2,50,44,15,146,
E01002712,Islington,E09000019,612,65,143,6,43,48,16,66,12,4,60,30,20,99,
E01002713,Islington,E09000019,1056,134,278,28,40,93,27,76,17,6,110,60,20,167,
E01002714,Islington,E09000019,726,46,222,25,72,76,13,80,19,3,24,22,21,103,
E01002715,Islington,E09000019,681,48,204,8,25,80,13,42,20,3,93,49,20,76,
E01002716,Islington,E09000019,1038,110,253,23,52,77,22,96,25,8,112,111,31,118,
E01002717,Islington,E09000019,539,39,113,23,48,65,20,50,18,1,42,31,11,78,
E01002718,Islington,E09000019,751,40,205,18,94,59,17,127,17,0,22,24,25,103,
E01002719,Islington,E09000019,688,83,143,36,62,102,21,86,20,1,28,26,9,71,
E01002720,Islington,E09000019,943,78,260,13,30,78,26,65,27,6,164,83,27,86,
E01002721,Islington,E09000019,802,61,225,25,47,78,14,114,37,1,48,54,17,81,
E01002722,Islington,E09000019,699,64,218,11,40,79,14,64,21,3,66,50,16,53,
E01002723,Islington,E09000019,740,75,224,9,37,62,19,64,16,5,83,45,10,91,
E01002724,Islington,E09000019,963,63,338,17,107,54,9,151,11,1,44,21,6,141,
E01002725,Islington,E09000019,565,37,181,8,26,42,25,27,17,7,81,39,11,64,
E01002726,Islington,E09000019,779,68,218,11,59,95,13,85,11,4,50,46,11,108,
E01002727,Islington,E09000019,800,54,282,20,71,36,19,105,19,4,54,44,7,85,
E01002728,Islington,E09000019,439,35,157,8,33,31,5,41,12,6,35,23,12,41,
E01002729,Islington,E09000019,662,65,177,39,59,59,31,55,18,6,35,27,9,82,
E01002730,Islington,E09000019,795,52,229,21,46,50,11,110,14,2,46,40,19,155,
E01002732,Islington,E09000019,810,83,252,9,57,61,27,58,9,3,73,71,26,81,
E01002733,Islington,E09000019,611,37,134,9,47,54,16,86,22,2,35,34,15,120,
E01002734,Islington,E09000019,934,45,263,11,54,91,20,83,15,4,131,49,45,123,
E01002735,Islington,E09000019,1125,49,339,9,63,70,18,222,13,2,81,49,50,160,
E01002736,Islington,E09000019,584,67,130,18,36,63,27,24,14,0,73,50,23,59,
E01002737,Islington,E09000019,771,68,162,14,31,91,28,48,29,6,95,53,20,126,
E01002738,Islington,E09000019,846,93,210,29,76,98,19,104,15,4,57,31,19,91,
E01002739,Islington,E09000019,817,78,202,33,64,106,29,103,27,3,52,29,12,79,
E01002740,Islington,E09000019,969,62,240,29,87,163,27,125,30,2,39,28,13,124,
E01002741,Islington,E09000019,640,63,162,12,24,71,23,42,20,5,71,53,19,75,
E01002742,Islington,E09000019,708,44,132,30,60,152,21,85,27,2,18,27,5,105,
E01002743,Islington,E09000019,625,52,149,17,40,88,13,92,20,2,46,27,17,62,
E01002744,Islington,E09000019,683,70,209,11,55,73,15,92,13,3,26,38,11,67,
E01002745,Islington,E09000019,680,69,181,17,61,56,14,94,24,5,37,38,6,78,
E01002747,Islington,E09000019,645,47,145,16,48,100,18,55,24,2,39,42,14,95,
E01002748,Islington,E09000019,693,39,204,2,44,77,19,57,11,2,71,50,30,87,
E01002749,Islington,E09000019,608,44,130,18,30,97,16,57,19,4,67,35,19,72,
E01002751,Islington,E09000019,867,70,285,16,42,64,15,74,27,5,105,46,22,96,
E01002752,Islington,E09000019,707,48,171,21,56,73,27,87,22,6,53,48,11,84,
E01002753,Islington,E09000019,623,66,149,20,46,44,18,51,8,2,55,47,22,95,
E01002754,Islington,E09000019,630,60,128,19,47,110,27,50,16,2,34,25,18,94,
E01002755,Islington,E09000019,612,72,180,7,22,60,27,30,11,3,63,58,24,55,
E01002756,Islington,E09000019,587,45,142,11,43,70,22,72,21,4,33,48,15,61,
E01002757,Islington,E09000019,606,53,119,14,48,84,30,53,13,4,70,41,19,58,
E01002758,Islington,E09000019,749,51,207,14,28,80,29,55,29,1,128,55,10,62,
E01002759,Islington,E09000019,616,56,124,35,52,71,17,62,21,6,38,38,13,83,
E01002760,Islington,E09000019,685,58,153,15,25,87,21,61,25,3,81,60,27,69,
E01002762,Islington,E09000019,860,59,212,17,54,60,25,127,19,3,40,32,17,195,
E01002763,Islington,E09000019,581,59,157,15,42,47,16,70,14,2,41,19,9,90,
E01002764,Islington,E09000019,790,70,192,23,43,74,24,64,16,8,94,59,16,107,
E01002765,Islington,E09000019,1070,84,311,13,90,70,23,87,31,5,113,65,28,150,
E01002766,Islington,E09000019,933,78,277,16,45,106,32,65,20,4,78,64,27,121,
E01002767,Islington,E09000019,943,98,248,26,49,57,27,82,13,4,90,62,20,167,
E01002768,Islington,E09000019,838,100,283,27,49,53,15,76,25,1,54,56,13,86,
E01002769,Islington,E09000019,705,78,175,25,48,94,30,53,29,3,40,23,26,81,
E01002770,Islington,E09000019,911,68,308,13,78,84,15,121,16,2,39,29,15,123,
E01002771,Islington,E09000019,670,57,161,12,28,56,24,76,20,9,61,56,10,100,
E01002772,Islington,E09000019,869,75,235,10,62,51,11,105,19,1,61,64,13,162,
E01002773,Islington,E09000019,686,89,209,20,28,58,26,41,10,3,62,55,24,61,
E01002774,Islington,E09000019,1031,80,270,12,81,80,30,117,25,3,92,71,15,155,
E01002775,Islington,E09000019,660,44,183,6,50,57,14,122,14,3,32,20,20,95,
E01002776,Islington,E09000019,889,72,258,16,52,78,21,111,20,1,94,46,12,108,
E01002777,Islington,E09000019,758,51,217,14,48,66,6,104,23,3,50,45,7,124,
E01002778,Islington,E09000019,751,63,166,10,35,72,22,68,15,1,113,64,24,98,
E01002779,Islington,E09000019,778,42,258,16,49,81,10,102,24,2,63,33,7,91,
E01002780,Islington,E09000019,770,45,213,14,51,57,77,106,16,6,48,35,17,85,
E01002781,Islington,E09000019,640,51,145,15,25,65,25,76,13,2,58,42,16,107,
E01002782,Islington,E09000019,554,39,129,9,17,58,22,23,22,11,85,53,24,62,
E01002783,Islington,E09000019,805,88,273,12,39,48,16,58,12,4,100,47,10,98,
E01002784,Islington,E09000019,757,89,171,13,39,75,27,69,18,5,89,65,18,79,
E01002785,Islington,E09000019,784,53,164,39,61,102,26,95,22,2,42,29,21,128,
E01002786,Islington,E09000019,882,78,259,9,49,75,19,94,27,1,88,55,19,109,
E01002787,Islington,E09000019,624,40,167,4,44,54,19,59,18,3,55,28,19,114,
E01002788,Islington,E09000019,895,70,289,21,58,81,20,144,31,6,46,35,10,84,
E01002789,Islington,E09000019,783,66,149,36,67,130,31,103,20,2,26,33,15,105,
E01002790,Islington,E09000019,699,77,216,20,34,40,23,50,15,7,95,52,14,56,
E01002791,Islington,E09000019,850,71,197,31,63,110,14,117,24,3,49,25,11,135,
E01002792,Islington,E09000019,883,49,250,33,82,82,20,129,21,5,55,40,14,103,
E01002793,Islington,E09000019,905,94,271,9,51,45,19,95,25,5,87,77,23,104,
E01002794,Islington,E09000019,1012,75,324,24,98,67,20,130,17,0,51,46,13,147,
E01002795,Islington,E09000019,857,47,222,23,64,81,32,106,19,4,66,37,21,135,
E01002796,Islington,E09000019,507,35,168,16,23,50,15,55,11,0,28,21,12,73,
E01002797,Islington,E09000019,875,67,259,17,64,47,16,93,19,4,77,49,13,150,
E01002798,Islington,E09000019,904,80,217,29,110,146,22,119,16,5,39,19,10,92,
E01002799,Islington,E09000019,854,72,228,19,46,91,18,75,28,2,114,47,20,94,
E01002800,Islington,E09000019,794,61,248,14,35,57,27,105,15,3,79,46,43,61,
E01002801,Islington,E09000019,765,71,236,27,84,62,19,114,11,3,22,33,5,78,
E01002802,Islington,E09000019,821,47,246,20,79,79,18,116,27,1,54,26,15,93,
E01002804,Islington,E09000019,708,62,226,11,32,57,15,56,19,3,71,46,21,89,
E01002805,Islington,E09000019,714,45,224,9,46,38,12,122,15,1,39,29,6,128,
E01002806,Islington,E09000019,700,69,144,11,46,99,23,80,24,6,34,35,18,111,
E01002807,Islington,E09000019,804,64,263,9,33,53,20,53,23,4,86,51,17,128,
E01002808,Islington,E09000019,875,63,223,21,56,75,17,101,29,2,80,41,21,146,
E01002809,Islington,E09000019,733,76,215,10,32,62,20,81,14,4,46,46,35,92,
E01002810,Islington,E09000019,796,61,241,15,61,57,18,65,17,0,53,64,19,125,
E01002811,Islington,E09000019,730,69,174,10,36,87,17,70,43,1,75,61,13,74,
E01033486,Islington,E09000019,426,25,107,6,31,48,13,28,8,1,46,28,15,70,
E01033487,Islington,E09000019,596,7,178,1,68,50,3,107,12,0,33,13,6,118,
E01033488,Islington,E09000019,623,49,163,8,30,42,27,82,10,7,56,33,12,104,
E01033489,Islington,E09000019,681,24,260,11,84,44,6,123,11,1,18,14,5,80,
E01033490,Islington,E09000019,552,43,188,10,53,28,12,60,14,5,44,15,6,74,
E01033491,Islington,E09000019,962,49,340,16,62,69,14,155,16,2,55,30,13,141,
E01033493,Islington,E09000019,688,20,211,3,93,58,6,187,16,0,6,16,2,70,
E01033494,Islington,E09000019,657,45,167,14,60,116,25,67,29,1,18,12,12,91,
E01035651,Islington,E09000019,695,36,184,7,53,59,14,104,21,1,57,29,16,114,
E01035652,Islington,E09000019,618,36,184,6,50,32,9,118,15,2,33,14,9,110,
E01035653,Islington,E09000019,759,9,303,1,74,57,3,140,32,1,18,9,4,108,
E01035654,Islington,E09000019,506,23,155,4,34,53,6,57,37,0,70,14,9,44,
E01035655,Islington,E09000019,740,56,197,30,62,89,19,83,14,7,57,27,14,85,
E01035656,Islington,E09000019,722,9,306,5,61,40,5,111,32,1,64,15,2,71,
E01002812,Kensington and Chelsea,E09000020,736,63,240,18,147,87,14,42,11,0,25,19,9,61,
E01002813,Kensington and Chelsea,E09000020,690,79,156,46,61,104,57,55,6,0,31,19,17,59,
E01002814,Kensington and Chelsea,E09000020,1023,81,327,24,74,138,42,49,10,5,81,66,27,99,
E01002815,Kensington and Chelsea,E09000020,634,87,216,19,80,55,10,49,9,1,15,21,4,68,
E01002816,Kensington and Chelsea,E09000020,545,50,209,24,52,81,14,32,6,1,19,15,6,36,
E01002817,Kensington and Chelsea,E09000020,609,78,142,49,67,91,28,32,6,0,19,19,14,64,
E01002818,Kensington and Chelsea,E09000020,710,62,221,26,100,60,19,65,3,0,22,23,17,92,
E01002819,Kensington and Chelsea,E09000020,567,50,218,19,85,70,5,21,6,1,13,18,14,47,
E01002821,Kensington and Chelsea,E09000020,533,47,198,26,48,57,21,37,10,0,11,11,5,62,
E01002823,Kensington and Chelsea,E09000020,603,93,173,30,42,54,33,26,9,2,40,50,17,34,
E01002824,Kensington and Chelsea,E09000020,552,60,153,35,66,90,12,40,3,1,20,24,13,35,
E01002825,Kensington and Chelsea,E09000020,725,84,155,47,65,146,32,28,10,1,58,26,25,48,
E01002826,Kensington and Chelsea,E09000020,641,71,190,43,84,91,9,42,5,0,33,23,7,43,
E01002827,Kensington and Chelsea,E09000020,795,82,226,31,88,131,18,65,14,1,33,21,12,73,
E01002828,Kensington and Chelsea,E09000020,618,85,222,35,56,79,9,34,8,2,24,14,12,38,
E01002829,Kensington and Chelsea,E09000020,714,76,298,13,33,50,21,48,8,2,26,63,10,66,
E01002830,Kensington and Chelsea,E09000020,817,114,276,14,50,40,19,44,17,3,60,54,42,84,
E01002831,Kensington and Chelsea,E09000020,891,121,314,14,50,67,23,46,20,3,50,90,19,74,
E01002832,Kensington and Chelsea,E09000020,784,98,255,18,45,55,44,53,9,8,61,53,24,61,
E01002833,Kensington and Chelsea,E09000020,654,73,259,11,47,67,18,56,8,0,30,21,13,51,
E01002834,Kensington and Chelsea,E09000020,610,64,217,19,49,87,20,58,11,0,15,14,13,43,
E01002835,Kensington and Chelsea,E09000020,644,55,213,20,59,92,18,58,7,1,17,13,14,77,
E01002836,Kensington and Chelsea,E09000020,700,67,285,15,69,82,15,77,8,0,24,9,8,41,
E01002837,Kensington and Chelsea,E09000020,489,38,175,21,49,66,12,40,5,1,17,9,14,42,
E01002839,Kensington and Chelsea,E09000020,859,77,429,11,41,68,14,57,6,3,11,46,11,85,
E01002840,Kensington and Chelsea,E09000020,540,117,142,19,22,37,23,7,6,2,49,65,17,34,
E01002841,Kensington and Chelsea,E09000020,613,67,209,17,46,58,20,44,10,3,25,36,18,60,
E01002842,Kensington and Chelsea,E09000020,402,65,74,16,14,44,19,9,5,1,42,53,20,40,
E01002843,Kensington and Chelsea,E09000020,630,118,179,22,19,51,42,16,18,1,55,61,10,38,
E01002844,Kensington and Chelsea,E09000020,609,99,218,34,39,66,17,39,5,4,9,20,14,45,
E01002845,Kensington and Chelsea,E09000020,612,78,232,28,44,54,18,37,4,0,22,18,16,61,
E01002846,Kensington and Chelsea,E09000020,708,66,294,9,49,23,9,65,5,2,37,19,5,125,
E01002847,Kensington and Chelsea,E09000020,714,56,297,13,65,63,12,84,4,1,14,15,7,83,
E01002848,Kensington and Chelsea,E09000020,716,64,308,12,45,53,13,71,12,0,26,23,10,79,
E01002849,Kensington and Chelsea,E09000020,747,78,244,9,58,128,18,57,3,2,23,19,16,92,
E01002850,Kensington and Chelsea,E09000020,629,45,240,8,46,54,14,54,8,2,17,22,16,103,
E01002851,Kensington and Chelsea,E09000020,801,154,306,14,56,31,17,52,8,1,28,39,8,87,
E01002852,Kensington and Chelsea,E09000020,852,86,243,15,48,77,59,30,17,5,103,77,33,59,
E01002853,Kensington and Chelsea,E09000020,595,52,169,16,28,51,25,32,5,0,43,112,21,41,
E01002854,Kensington and Chelsea,E09000020,460,55,109,19,25,56,21,16,5,3,52,41,22,36,
E01002855,Kensington and Chelsea,E09000020,722,84,230,18,23,52,48,42,12,2,58,77,23,53,
E01002856,Kensington and Chelsea,E09000020,771,78,318,5,49,39,11,58,11,1,44,45,18,94,
E01002857,Kensington and Chelsea,E09000020,562,47,160,9,24,47,33,10,9,4,68,63,26,62,
E01002858,Kensington and Chelsea,E09000020,640,77,263,28,23,36,26,17,6,10,34,48,38,34,
E01002859,Kensington and Chelsea,E09000020,663,60,237,27,69,69,21,53,6,2,26,18,8,67,
E01002860,Kensington and Chelsea,E09000020,578,61,207,28,46,92,23,35,4,0,17,17,6,42,
E01002861,Kensington and Chelsea,E09000020,545,68,174,25,48,67,15,26,3,0,17,15,42,45,
E01002862,Kensington and Chelsea,E09000020,716,122,370,19,30,24,13,26,3,4,14,31,8,52,
E01002863,Kensington and Chelsea,E09000020,562,67,164,28,77,70,14,37,6,1,20,19,16,43,
E01002864,Kensington and Chelsea,E09000020,528,63,83,38,41,119,39,17,2,1,22,22,51,30,
E01002865,Kensington and Chelsea,E09000020,562,35,105,31,98,101,57,14,6,0,25,14,27,49,
E01002866,Kensington and Chelsea,E09000020,767,62,236,15,67,78,22,65,8,2,37,42,56,77,
E01002867,Kensington and Chelsea,E09000020,802,86,254,22,54,81,28,69,3,1,46,37,19,102,
E01002868,Kensington and Chelsea,E09000020,536,71,91,50,58,93,34,29,11,1,16,12,48,22,
E01002869,Kensington and Chelsea,E09000020,749,72,233,27,58,94,18,51,15,1,35,30,51,64,
E01002870,Kensington and Chelsea,E09000020,690,102,196,21,24,48,37,21,9,9,67,54,15,87,
E01002871,Kensington and Chelsea,E09000020,643,65,135,29,108,116,29,47,8,1,21,16,17,51,
E01002872,Kensington and Chelsea,E09000020,660,152,133,30,59,55,25,23,15,6,48,53,24,37,
E01002873,Kensington and Chelsea,E09000020,655,54,197,48,75,68,22,42,6,2,23,69,17,32,
E01002874,Kensington and Chelsea,E09000020,583,67,230,8,38,58,32,41,3,1,30,23,12,40,
E01002875,Kensington and Chelsea,E09000020,584,97,143,32,67,70,26,35,7,0,19,16,21,51,
E01002876,Kensington and Chelsea,E09000020,701,80,142,36,52,103,42,29,23,4,36,41,64,49,
E01002877,Kensington and Chelsea,E09000020,760,57,147,19,36,84,46,24,19,6,98,78,79,67,
E01002878,Kensington and Chelsea,E09000020,754,114,253,15,49,72,17,69,10,2,33,34,13,73,
E01002879,Kensington and Chelsea,E09000020,703,90,167,14,27,73,22,42,46,2,62,59,52,47,
E01002880,Kensington and Chelsea,E09000020,455,35,121,7,25,48,24,12,7,1,49,65,18,43,
E01002881,Kensington and Chelsea,E09000020,515,51,106,14,10,72,51,15,14,4,54,54,21,49,
E01002882,Kensington and Chelsea,E09000020,558,111,185,16,36,63,11,34,10,2,29,24,8,29,
E01002883,Kensington and Chelsea,E09000020,647,80,190,29,71,91,18,48,7,1,23,21,14,54,
E01002884,Kensington and Chelsea,E09000020,594,77,252,11,51,44,11,58,6,0,14,14,7,49,
E01002885,Kensington and Chelsea,E09000020,811,76,382,6,47,59,12,84,9,1,33,12,5,85,
E01002886,Kensington and Chelsea,E09000020,657,68,242,28,47,83,34,52,2,3,18,20,16,44,
E01002887,Kensington and Chelsea,E09000020,555,57,237,16,59,51,10,44,6,1,9,10,8,47,
E01002888,Kensington and Chelsea,E09000020,831,59,362,20,66,67,13,56,10,1,18,13,7,139,
E01002889,Kensington and Chelsea,E09000020,566,47,158,19,60,73,11,35,2,0,18,13,12,118,
E01002890,Kensington and Chelsea,E09000020,563,67,92,57,81,132,16,24,7,1,20,17,17,32,
E01002891,Kensington and Chelsea,E09000020,567,54,167,28,87,69,25,35,4,0,17,17,8,56,
E01002892,Kensington and Chelsea,E09000020,645,48,216,22,68,79,20,50,8,1,31,25,10,67,
E01002893,Kensington and Chelsea,E09000020,912,99,385,28,50,61,18,73,13,1,36,23,5,120,
E01002894,Kensington and Chelsea,E09000020,654,55,244,14,57,63,13,68,4,0,14,16,9,97,
E01002896,Kensington and Chelsea,E09000020,754,65,233,16,69,110,13,123,8,1,27,19,11,59,
E01002897,Kensington and Chelsea,E09000020,699,66,245,20,46,58,14,67,6,1,27,20,40,89,
E01002898,Kensington and Chelsea,E09000020,673,111,150,20,48,126,12,36,18,0,29,12,63,48,
E01002899,Kensington and Chelsea,E09000020,638,115,184,27,61,56,25,28,5,0,34,33,17,53,
E01002900,Kensington and Chelsea,E09000020,567,75,142,43,58,60,26,26,4,0,16,12,9,96,
E01002901,Kensington and Chelsea,E09000020,438,109,134,29,41,38,10,25,5,1,9,8,6,23,
E01002902,Kensington and Chelsea,E09000020,708,105,271,46,67,57,14,48,6,2,29,22,7,34,
E01002903,Kensington and Chelsea,E09000020,568,72,124,44,66,89,30,23,10,2,27,17,20,44,
E01002904,Kensington and Chelsea,E09000020,501,52,114,10,16,43,43,11,12,4,76,58,29,33,
E01002905,Kensington and Chelsea,E09000020,650,54,214,17,30,48,22,19,11,1,63,55,64,52,
E01002906,Kensington and Chelsea,E09000020,633,53,156,20,33,73,37,24,11,1,65,66,34,60,
E01002907,Kensington and Chelsea,E09000020,512,72,107,9,7,47,27,5,16,5,105,53,35,24,
E01002908,Kensington and Chelsea,E09000020,598,67,150,24,38,77,46,30,19,3,45,28,21,50,
E01002909,Kensington and Chelsea,E09000020,1023,117,365,22,73,75,36,84,9,3,50,61,50,78,
E01002910,Kensington and Chelsea,E09000020,634,123,196,26,48,61,20,33,4,3,19,22,30,49,
E01002911,Kensington and Chelsea,E09000020,600,62,161,36,52,83,42,46,7,1,26,11,20,53,
E01002912,Kensington and Chelsea,E09000020,680,81,197,25,45,47,11,47,10,3,39,28,16,131,
E01002913,Kensington and Chelsea,E09000020,816,72,252,15,82,98,49,57,18,2,44,39,22,66,
E01002914,Kensington and Chelsea,E09000020,573,76,194,39,41,70,24,33,7,0,19,12,17,41,
E01035713,Kensington and Chelsea,E09000020,990,100,348,51,83,132,34,61,8,0,37,22,12,102,
E01035714,Kensington and Chelsea,E09000020,930,106,307,45,79,127,32,58,6,6,28,23,19,94,
E01002915,Kingston upon Thames,E09000021,485,59,31,66,43,97,57,13,16,2,23,24,27,27,
E01002916,Kingston upon Thames,E09000021,528,74,46,54,43,136,54,17,10,1,17,22,29,25,
E01002917,Kingston upon Thames,E09000021,493,49,20,67,54,138,58,8,17,2,12,21,22,25,
E01002918,Kingston upon Thames,E09000021,613,55,44,31,47,140,69,29,24,11,52,40,36,35,
E01002919,Kingston upon Thames,E09000021,796,75,154,41,68,131,45,48,23,1,61,43,44,62,
E01002920,Kingston upon Thames,E09000021,587,74,34,61,60,163,59,11,25,9,20,33,15,23,
E01002921,Kingston upon Thames,E09000021,901,99,299,13,84,90,15,121,35,0,35,15,10,85,
E01002922,Kingston upon Thames,E09000021,723,103,134,76,68,153,38,45,15,3,21,19,9,39,
E01002923,Kingston upon Thames,E09000021,866,181,280,31,38,54,14,65,23,2,57,26,23,72,
E01002924,Kingston upon Thames,E09000021,551,55,44,89,56,168,56,12,15,2,4,14,14,22,
E01002925,Kingston upon Thames,E09000021,800,82,237,15,85,95,20,132,29,3,38,23,7,34,
E01002926,Kingston upon Thames,E09000021,602,67,75,45,49,179,38,31,21,2,23,19,15,38,
E01002927,Kingston upon Thames,E09000021,638,96,63,50,45,143,52,26,20,3,36,27,25,52,
E01002928,Kingston upon Thames,E09000021,738,107,140,31,55,145,38,47,23,3,50,22,23,54,
E01002929,Kingston upon Thames,E09000021,675,75,88,73,77,172,52,38,15,0,21,20,11,33,
E01002930,Kingston upon Thames,E09000021,791,73,145,42,78,147,42,58,26,3,57,26,28,66,
E01002931,Kingston upon Thames,E09000021,724,54,100,53,76,207,59,32,34,2,39,18,29,21,
E01002932,Kingston upon Thames,E09000021,669,37,143,17,35,116,46,33,24,6,95,44,33,40,
E01002933,Kingston upon Thames,E09000021,808,105,145,28,65,183,41,39,38,2,60,36,17,49,
E01002934,Kingston upon Thames,E09000021,659,49,50,43,66,250,45,36,22,0,27,23,19,29,
E01002935,Kingston upon Thames,E09000021,820,80,174,24,77,175,32,78,16,1,48,21,24,70,
E01002937,Kingston upon Thames,E09000021,660,48,70,24,71,239,33,46,28,6,31,22,10,32,
E01002938,Kingston upon Thames,E09000021,782,91,111,52,59,240,31,46,25,4,41,23,20,39,
E01002939,Kingston upon Thames,E09000021,595,64,66,30,54,110,43,40,29,11,53,28,29,38,
E01002940,Kingston upon Thames,E09000021,613,74,70,51,35,118,54,26,34,5,33,47,31,35,
E01002941,Kingston upon Thames,E09000021,640,101,63,58,68,116,52,23,31,5,33,24,25,41,
E01002942,Kingston upon Thames,E09000021,531,67,48,60,51,131,46,18,12,8,20,20,21,29,
E01002943,Kingston upon Thames,E09000021,510,60,37,42,39,111,52,20,15,4,39,28,27,36,
E01002944,Kingston upon Thames,E09000021,524,59,69,33,44,104,33,30,21,5,48,40,15,23,
E01002945,Kingston upon Thames,E09000021,643,68,108,36,63,116,47,49,36,0,44,24,18,34,
E01002946,Kingston upon Thames,E09000021,612,73,67,49,64,110,44,45,33,10,27,48,12,30,
E01002947,Kingston upon Thames,E09000021,618,58,58,58,60,149,61,29,19,10,41,29,21,25,
E01002948,Kingston upon Thames,E09000021,819,76,116,47,73,146,74,48,49,10,54,50,36,40,
E01002949,Kingston upon Thames,E09000021,685,75,77,53,65,142,66,32,40,6,35,27,33,34,
E01002950,Kingston upon Thames,E09000021,721,107,126,46,55,96,29,50,40,10,56,43,30,33,
E01002951,Kingston upon Thames,E09000021,574,70,67,48,46,165,26,31,18,1,30,19,15,38,
E01002952,Kingston upon Thames,E09000021,476,50,24,78,55,110,66,6,5,3,8,19,26,26,
E01002953,Kingston upon Thames,E09000021,435,38,35,47,47,92,51,14,8,2,16,15,28,42,
E01002954,Kingston upon Thames,E09000021,631,89,167,33,46,102,9,34,13,0,57,18,11,52,
E01002955,Kingston upon Thames,E09000021,528,52,78,22,50,100,61,26,13,4,31,23,25,43,
E01002956,Kingston upon Thames,E09000021,438,65,29,57,37,84,44,2,9,1,21,28,32,29,
E01002957,Kingston upon Thames,E09000021,566,41,76,15,19,88,27,20,16,1,82,51,21,109,
E01002958,Kingston upon Thames,E09000021,651,60,79,34,82,194,42,35,27,3,23,20,19,33,
E01002959,Kingston upon Thames,E09000021,480,50,14,68,51,160,59,5,8,3,8,18,17,19,
E01002960,Kingston upon Thames,E09000021,580,62,67,49,48,150,71,16,13,2,24,12,25,41,
E01002961,Kingston upon Thames,E09000021,598,52,28,78,64,186,57,16,20,2,17,29,23,26,
E01002962,Kingston upon Thames,E09000021,525,48,35,38,38,126,49,18,19,2,40,35,42,35,
E01002963,Kingston upon Thames,E09000021,781,93,147,27,69,173,37,42,20,2,53,29,20,69,
E01002964,Kingston upon Thames,E09000021,1042,149,290,22,97,137,21,90,24,3,59,37,13,100,
E01002965,Kingston upon Thames,E09000021,1141,101,327,51,77,158,31,100,20,0,58,35,19,164,
E01002966,Kingston upon Thames,E09000021,772,49,142,20,100,161,30,75,40,6,32,22,12,83,
E01002967,Kingston upon Thames,E09000021,953,122,257,40,86,113,21,138,28,1,41,23,9,74,
E01002968,Kingston upon Thames,E09000021,1153,101,289,45,120,140,34,112,27,4,48,25,27,181,
E01002969,Kingston upon Thames,E09000021,658,56,145,9,29,103,28,19,30,3,126,53,21,36,
E01002970,Kingston upon Thames,E09000021,651,42,99,19,43,121,37,28,36,5,54,43,37,87,
E01002971,Kingston upon Thames,E09000021,731,52,145,27,72,161,16,76,33,2,41,20,16,70,
E01002972,Kingston upon Thames,E09000021,892,103,196,23,69,138,15,77,30,3,66,34,24,114,
E01002973,Kingston upon Thames,E09000021,523,28,64,23,27,105,41,14,23,2,54,47,35,60,
E01002974,Kingston upon Thames,E09000021,711,53,108,46,71,176,45,28,15,4,35,33,33,64,
E01002975,Kingston upon Thames,E09000021,500,45,32,56,28,113,64,7,10,5,32,29,35,44,
E01002976,Kingston upon Thames,E09000021,642,74,62,56,71,158,58,30,20,7,36,21,14,35,
E01002977,Kingston upon Thames,E09000021,653,82,105,44,45,112,55,17,19,13,60,28,31,42,
E01002978,Kingston upon Thames,E09000021,732,89,83,101,82,150,61,26,22,3,25,31,23,36,
E01002979,Kingston upon Thames,E09000021,597,52,92,77,67,116,53,28,14,2,27,24,22,23,
